Date,Actual Load,Forecast
2024-01-01 00:00:00+00:00,169789.08333333334,171710.00320800146
2024-01-02 00:00:00+00:00,212730.95833333334,176117.17407113133
2024-01-03 00:00:00+00:00,225475.58333333334,189348.34119951839
2024-01-04 00:00:00+00:00,229915.375,197683.81336221556
2024-01-05 00:00:00+00:00,227619.04166666666,194898.85479434885
2024-01-06 00:00:00+00:00,207410.08333333334,180830.947098381
2024-01-07 00:00:00+00:00,205582.875,174283.93168906687
2024-01-08 00:00:00+00:00,250678.125,169597.39577431846
2024-01-09 00:00:00+00:00,255510.0,173997.16588221907
2024-01-10 00:00:00+00:00,255920.375,187102.93833951064
2024-01-11 00:00:00+00:00,258028.66666666666,195359.72331699813
2024-01-12 00:00:00+00:00,255522.45833333334,192618.5661950441
2024-01-13 00:00:00+00:00,229999.54166666666,178721.1465824186
2024-01-14 00:00:00+00:00,217565.45833333334,172254.7703585102
2024-01-15 00:00:00+00:00,261845.91666666666,167625.60447493324
2024-01-16 00:00:00+00:00,259414.79166666666,171976.30605372795
2024-01-17 00:00:00+00:00,264844.7916666667,184931.3715359642
2024-01-18 00:00:00+00:00,260694.125,193093.22317153268
2024-01-19 00:00:00+00:00,264518.5416666667,190384.36018042674
2024-01-20 00:00:00+00:00,230923.875,176648.400730484
2024-01-21 00:00:00+00:00,219948.875,170257.20854039834
2024-01-22 00:00:00+00:00,256687.0,165681.8498454541
2024-01-23 00:00:00+00:00,256653.33333333334,169982.19425763452
2024-01-24 00:00:00+00:00,250639.08333333334,182787.10932920652
2024-01-25 00:00:00+00:00,244421.41666666666,190854.3649592338
2024-01-26 00:00:00+00:00,242711.375,188176.9323185486
2024-01-27 00:00:00+00:00,212273.16666666666,174600.24730354955
2024-01-28 00:00:00+00:00,190351.33333333334,168283.16633886017
2024-01-29 00:00:00+00:00,232823.16666666666,163760.8620586919
2024-01-30 00:00:00+00:00,241443.16666666666,168011.3505240127
2024-01-31 00:00:00+00:00,252263.58333333334,180667.80310824775
2024-02-01 00:00:00+00:00,250801.16666666666,188641.52555344132
2024-02-02 00:00:00+00:00,247085.66666666666,185995.13707750605
2024-02-03 00:00:00+00:00,215336.5,172575.8658543469
2024-02-04 00:00:00+00:00,205154.45833333334,166332.0278954049
2024-02-05 00:00:00+00:00,241637.375,161862.15716220537
2024-02-06 00:00:00+00:00,249450.95833333334,166063.36405254755
2024-02-07 00:00:00+00:00,248851.16666666666,178573.0731219661
2024-02-08 00:00:00+00:00,243574.04166666666,186454.3453300446
2024-02-09 00:00:00+00:00,241339.33333333334,183838.64011271496
2024-02-10 00:00:00+00:00,202488.20833333334,170574.95694639007
2024-02-11 00:00:00+00:00,193873.91666666666,164403.51238849404
2024-02-12 00:00:00+00:00,229218.54166666666,159985.46701304417
2024-02-13 00:00:00+00:00,239373.625,164137.963553777
2024-02-14 00:00:00+00:00,237124.04166666666,176502.6304024848
2024-02-15 00:00:00+00:00,233251.875,184292.52420871012
2024-02-16 00:00:00+00:00,233419.33333333334,181707.14645377052
2024-02-17 00:00:00+00:00,200192.70833333334,168597.24737078545
2024-02-18 00:00:00+00:00,191887.58333333334,162497.35684017697
2024-02-19 00:00:00+00:00,236363.08333333334,158130.53592862794
2024-02-20 00:00:00+00:00,240166.70833333334,162234.8868784079
2024-02-21 00:00:00+00:00,243038.375,174456.19317526114
2024-02-22 00:00:00+00:00,242830.70833333334,182155.76805186353
2024-02-23 00:00:00+00:00,239969.95833333334,179600.36612950405
2024-02-24 00:00:00+00:00,202783.25,166642.4680986982
2024-02-25 00:00:00+00:00,193149.95833333334,160613.30197055032
2024-02-26 00:00:00+00:00,233718.75,156297.11160688655
2024-02-27 00:00:00+00:00,237800.66666666666,160353.875183301
2024-02-28 00:00:00+00:00,239198.125,172433.48310371808
2024-02-29 00:00:00+00:00,241978.66666666666,180043.7862418695
2024-03-01 00:00:00+00:00,232346.33333333334,177518.01260103885
2024-03-02 00:00:00+00:00,196915.29166666666,164710.3532655531
2024-03-03 00:00:00+00:00,185704.25,158751.09153477068
2024-03-04 00:00:00+00:00,235945.41666666666,154484.9446895426
2024-03-05 00:00:00+00:00,244125.04166666666,158494.67263830552
2024-03-06 00:00:00+00:00,238307.79166666666,170434.22508602243
2024-03-07 00:00:00+00:00,237197.66666666666,177956.29153549758
2024-03-08 00:00:00+00:00,229708.54166666666,175459.8026548623
2024-03-09 00:00:00+00:00,202822.58333333334,162800.64009131145
2024-03-10 00:00:00+00:00,195849.66666666666,156910.47226027734
2024-03-11 00:00:00+00:00,234634.20833333334,152693.78871029493
2024-03-12 00:00:00+00:00,234955.20833333334,156657.02637998882
2024-03-13 00:00:00+00:00,237053.66666666666,168458.14721031254
2024-03-14 00:00:00+00:00,233069.0,175893.0000201392
2024-03-15 00:00:00+00:00,229989.5,173425.4563612837
2024-03-16 00:00:00+00:00,202636.0,160913.06884279335
2024-03-17 00:00:00+00:00,183760.125,155091.1938111031
2024-03-18 00:00:00+00:00,228679.29166666666,150923.40006050098
2024-03-19 00:00:00+00:00,230963.08333333334,154840.6864767344
2024-03-20 00:00:00+00:00,225801.25,166504.9807173892
2024-03-21 00:00:00+00:00,227987.95833333334,173853.63107498398
2024-03-22 00:00:00+00:00,227521.66666666666,171414.69703622768
2024-03-23 00:00:00+00:00,197010.16666666666,159047.38279826602
2024-03-24 00:00:00+00:00,190132.04166666666,153293.00875377163
2024-03-25 00:00:00+00:00,220577.45833333334,149173.53795600915
2024-03-26 00:00:00+00:00,229284.25,153045.4058947271
