Date,Forecasted Load,Lower CI,Upper CI
2024-01-01 00:00:00+00:00,216398.82584668393,197939.61090003332,234858.04079333454
2024-01-02 00:00:00+00:00,222169.8574401041,197690.11149004518,246649.603390163
2024-01-03 00:00:00+00:00,223639.35107413103,195436.71036104928,251841.99178721278
2024-01-04 00:00:00+00:00,223673.72663650988,192946.05148145303,254401.40179156672
2024-01-05 00:00:00+00:00,219032.9106839416,186520.10176804982,251545.71959983336
2024-01-06 00:00:00+00:00,189490.1047977478,155685.7790535417,223294.43054195392
2024-01-07 00:00:00+00:00,178839.7242487605,144087.554025644,213591.894471877
2024-01-08 00:00:00+00:00,218418.9431158313,182879.6033804076,253958.28285125497
2024-01-09 00:00:00+00:00,223929.42731592903,187804.31742395702,260054.53720790104
2024-01-10 00:00:00+00:00,225171.9780137628,188608.71497230598,261735.2410552196
2024-01-11 00:00:00+00:00,225008.68091616515,188116.47037013472,261900.89146219558
2024-01-12 00:00:00+00:00,220195.68740584765,183055.85391017154,257335.52090152376
2024-01-13 00:00:00+00:00,190502.91079838158,153176.30609577315,227829.51550099
2024-01-14 00:00:00+00:00,179721.90220743025,142254.218643145,217189.5857717155
2024-01-15 00:00:00+00:00,219187.3409632727,181579.26700506802,256795.41492147738
2024-01-16 00:00:00+00:00,224598.71999792132,186884.48299797263,262312.95699787
2024-01-17 00:00:00+00:00,225754.94775484165,187960.36569383933,263549.52981584397
2024-01-18 00:00:00+00:00,225516.46133593886,187661.03667473845,263371.88599713927
2024-01-19 00:00:00+00:00,220637.9761500772,182736.45645254402,258539.49584761035
2024-01-20 00:00:00+00:00,190888.1547456754,152951.70093157867,228824.6085597721
2024-01-21 00:00:00+00:00,180057.45878865197,142094.5225299543,218020.39504734965
2024-01-22 00:00:00+00:00,219479.61867455713,181480.75474511652,257478.48260399775
2024-01-23 00:00:00+00:00,224853.30079083153,186827.2018245382,262879.39975712483
2024-01-24 00:00:00+00:00,225976.6936410879,187929.94494447764,264023.4423376982
2024-01-25 00:00:00+00:00,225709.60724260777,187647.19943787775,263772.0150473378
2024-01-26 00:00:00+00:00,220806.21079873052,182731.9270045196,258880.49459294145
2024-01-27 00:00:00+00:00,191034.6910999561,152951.39967507025,229117.98252484197
2024-01-28 00:00:00+00:00,180185.0954158139,142094.97148330833,218275.2193483195
2024-01-29 00:00:00+00:00,219590.79319280718,181486.32355558977,257695.26283002459
2024-01-30 00:00:00+00:00,224950.1364232276,186834.78655787377,263065.48628858145
2024-01-31 00:00:00+00:00,226061.03976508422,187937.43733628385,264184.6421938846
2024-02-01 00:00:00+00:00,225783.07470966683,187653.2123997815,263912.93701955216
2024-02-02 00:00:00+00:00,220870.2026985398,182735.5918140616,259004.813583018
2024-02-03 00:00:00+00:00,191090.42955678774,152952.21640790868,229228.6427056668
2024-02-04 00:00:00+00:00,180233.64492878714,142092.69903313593,218374.59082443835
2024-02-05 00:00:00+00:00,219633.08096580845,181483.43288568925,257782.72904592764
2024-02-06 00:00:00+00:00,224986.97007275143,186830.72112455964,263143.2190209432
2024-02-07 00:00:00+00:00,226093.12274418084,187931.8665968466,264254.3788915151
2024-02-08 00:00:00+00:00,225811.01974256535,187645.96516082808,263976.0743243026
2024-02-09 00:00:00+00:00,220894.54348252204,182726.6073485393,259062.47961650477
2024-02-10 00:00:00+00:00,191111.6309547973,152941.50878365117,229281.75312594342
2024-02-11 00:00:00+00:00,180252.11184743227,142080.33125240353,218423.89244246102
2024-02-12 00:00:00+00:00,219649.16608831275,181470.46222467232,257827.86995195318
2024-02-13 00:00:00+00:00,225000.98059453635,186817.02500794153,263184.93618113117
2024-02-14 00:00:00+00:00,226105.3262397174,187917.38674642536,264293.26573300944
