Date,Actual Load,Forecast
2024-01-01 00:00:00+00:00,169789.08333333334,216398.82584668393
2024-01-02 00:00:00+00:00,212730.95833333334,222169.8574401041
2024-01-03 00:00:00+00:00,225475.58333333334,223639.35107413103
2024-01-04 00:00:00+00:00,229915.375,223673.72663650988
2024-01-05 00:00:00+00:00,227619.04166666666,219032.9106839416
2024-01-06 00:00:00+00:00,207410.08333333334,189490.1047977478
2024-01-07 00:00:00+00:00,205582.875,178839.7242487605
2024-01-08 00:00:00+00:00,250678.125,218418.9431158313
2024-01-09 00:00:00+00:00,255510.0,223929.42731592903
2024-01-10 00:00:00+00:00,255920.375,225171.9780137628
2024-01-11 00:00:00+00:00,258028.66666666666,225008.68091616515
2024-01-12 00:00:00+00:00,255522.45833333334,220195.68740584765
2024-01-13 00:00:00+00:00,229999.54166666666,190502.91079838158
2024-01-14 00:00:00+00:00,217565.45833333334,179721.90220743025
2024-01-15 00:00:00+00:00,261845.91666666666,219187.3409632727
2024-01-16 00:00:00+00:00,259414.79166666666,224598.71999792132
2024-01-17 00:00:00+00:00,264844.7916666667,225754.94775484165
2024-01-18 00:00:00+00:00,260694.125,225516.46133593886
2024-01-19 00:00:00+00:00,264518.5416666667,220637.9761500772
2024-01-20 00:00:00+00:00,230923.875,190888.1547456754
2024-01-21 00:00:00+00:00,219948.875,180057.45878865197
2024-01-22 00:00:00+00:00,256687.0,219479.61867455713
2024-01-23 00:00:00+00:00,256653.33333333334,224853.30079083153
2024-01-24 00:00:00+00:00,250639.08333333334,225976.6936410879
2024-01-25 00:00:00+00:00,244421.41666666666,225709.60724260777
2024-01-26 00:00:00+00:00,242711.375,220806.21079873052
2024-01-27 00:00:00+00:00,212273.16666666666,191034.6910999561
2024-01-28 00:00:00+00:00,190351.33333333334,180185.0954158139
2024-01-29 00:00:00+00:00,232823.16666666666,219590.79319280718
2024-01-30 00:00:00+00:00,241443.16666666666,224950.1364232276
2024-01-31 00:00:00+00:00,252263.58333333334,226061.03976508422
2024-02-01 00:00:00+00:00,250801.16666666666,225783.07470966683
